6881. емисија
104. циклус
57. емисија
27. 02. 2018.
www.youtube.com/watch?v=-ugMVefgqSA

А1 - ПРОФЕСИЈА
А2 - ДАСКЕ
А3 - ГЛАВНИ
А4 - ЕПИЗОДНИ
 А - ГЛУМАЦ
Б1 - КОРАЛИ
Б2 - КРСТ
Б3 - ФЕРАРИ
Б4 - ВЕТАР
 Б - ЦРВЕНИ
В1 - БРДО
В2 - КАЛИФОРНИЈА
В3 - ФИЛМ
В4 - ИНДУСТРИЈА
 В - ХОЛИВУД
Г1 - МАКАЗЕ
Г2 - МУШКИ
Г3 - ЖЕНСКИ
Г4 - САЛОН
 Г - ФРИЗЕР
??? - ВОРЕН БИТИ

А1 - УМЕТНОСТ
А2 - ПРАВАЦ
А3 - МАРИНЕТИ
А4 - БУДУЋНОСТ
 А - ФУТУРИЗАМ
Б1 - ЦАРСТВО
Б2 - РЕВОЛУЦИЈА
Б3 - ТРОЈКА
Б4 - ВОТКА
 Б - РУСИЈА
В1 - МАГЛА
В2 - КИША
В3 - БЕЛИ
В4 - СИВ
 В - ОБЛАК
Г1 - ШТОФ
Г2 - КАИШ
Г3 - МУШКАРАЦ
Г4 - КРАТКЕ
 Г - ПАНТАЛОНЕ
??? - ВЛАДИМИР МАЈАКОВСКИ
