6780. емисија
103. циклус
17. емисија
18. 11. 2017.
www.youtube.com/watch?v=ctMp971zLWg

А1 - АРМАТУРА
А2 - ЖИЦА
А3 - РАСТЕЗАЊЕ
А4 - ОДУГОВЛАЧЕЊЕ
 А - РАЗВЛАЧЕЊЕ
Б1 - СИРЋЕ
Б2 - ЛИМУН
Б3 - МЛЕКО
Б4 - ГРОЖЂЕ
 Б - КИСЕЛО
В1 - МАЈСТОР
В2 - МАСЛИНЕ
В3 - МАРГАРИТА
В4 - ПЕЧУРКЕ
 В - ПИЦА
Г1 - НЕЖНО
Г2 - ТКИВО
Г3 - ПЕРЈЕ
Г4 - НЕПЦЕ
 Г - МЕКО
??? - ТЕСТО

А1 - ШКОЛА
А2 - ПОШТА
А3 - ОБУКА
А4 - СИЛА
 А - ВОЈНА
Б1 - НАСТАВА
Б2 - ОДРЕДБА
Б3 - СРЕДСТВА
Б4 - ПРИДЕ
 Б - ДОДАТНА
В1 - ЗВОНО
В2 - БОЦА
В3 - ПОД ВОДОМ
В4 - ГЊУРАЦ
 В - РОНИЛАЦ
Г1 - ПЕЦАРОШ
Г2 - ЧИЗМЕ
Г3 - ПРИЧЕ
Г4 - ЧАМАЦ
 Г - РИБОЛОВАЦ
??? - ОПРЕМА
