7096. емисија
108. циклус
28. емисија
01. 10. 2018.
www.youtube.com/watch?v=uUYpjir2ocI

А1 - САХАЛИН
А2 - ВИС
А3 - АДА
А4 - ЈАВА
 А - ОСТРВО
Б1 - ЈОВАН
Б2 - КУМ
Б3 - ОБРЕД
Б4 - ХРИШЋАНСТВО
 Б - КРШТЕЊЕ
В1 - КАБИНА
В2 - ОРКЕСТАР
В3 - РАПИДОГРАФ
В4 - ХЛАДАН
 В - ТУШ
Г1 - СУПА
Г2 - ПАМЕТ
Г3 - РОСА
Г4 - ПРОЗИРНА
 Г - БИСТРА
??? - ВОДА

А1 - КАРАВАН
А2 - ОПТИКА
А3 - ХИБРИД
А4 - СЛУЖБЕНИ
 А - АУТОМОБИЛ
Б1 - ЦРНИ
Б2 - МРКИ
Б3 - РЕЗЕРВЕ
Б4 - КОЛУБАРА
 Б - УГАЉ
В1 - ВАЗДУХ
В2 - РУСИЈА
В3 - ДАСКА
В4 - МАСКА
 В - ГАС
Г1 - БИЛАНС
Г2 - АТОМ
Г3 - СУНЦЕ
Г4 - ЏУЛ
 Г - ЕНЕРГИЈА
??? - ГОРИВО
