7357. емисија
115. циклус
15. емисија
19. 06. 2019.
www.youtube.com/watch?v=h4eNugJJNxo

А1 - БОСНА
А2 - КОЛОРАДО
А3 - ЈОРДАН
А4 - МОСКВА
 А - РЕКА
Б1 - КОЛУБАРА
Б2 - СТАЉИНГРАД
Б3 - РАЊЕНИЦИ
Б4 - ГЕНЕРАЛ
 Б - БИТКА
В1 - ВОЈСКА
В2 - ИНСПЕКТОР
В3 - ЧАС
В4 - АКАДЕМИЈА
 В - ПОЛИЦИЈА
Г1 - ЗУБАЦ
Г2 - АМБИС
Г3 - СТО
Г4 - БЕК
 Г - ИВИЦА
??? - МАРИЦА

А1 - САТ
А2 - ОПЕКОТИНЕ
А3 - ВИТАМИН Д
А4 - ЗУБ 
 А - СУНЦЕ
Б1 - СУКОБ
Б2 - ПЉАЧКА
Б3 - АУТОМАТ
Б4 - ХЛАДНО
 Б - ОРУЖЈЕ
В1 - РЕЦЕПЦИЈА
В2 - БУДИЛНИК
В3 - ШКОЛА
В4 - УЗБУНА
 В - ЗВОНО
Г1 - ЗОСИМА
Г2 - ФОЧО
Г3 - ДОМ
Г4 - ВЕЋЕ
 Г - СТАРАЦ
??? - ЕРНЕСТ ХЕМИНГВЕЈ
