6436. емисија
97. циклус
39. емисија
09. 12. 2016.
www.youtube.com/watch?v=ATUfL2KdKMQ

А1 - РАСТ
А2 - ТЕРАПИЈА
А3 - ЖЛЕЗДА
А4 - ЛУЧЕЊЕ
 А - ХОРМОН
Б1 - УТИЦАЈНА
Б2 - ВАЖНА
Б3 - НЕПОЖЕЉНА
Б4 - ПЕРСОНА
 Б - ЛИЧНОСТ
В1 - ФИЛМ
В2 - МИША РАДИВОЈЕВИЋ
В3 - АУТОМОБИЛ
В4 - ПОПРАВКА
 В - КВАР
Г1 - БОЛ
Г2 - МИР
Г3 - УНУТРАШЊИ
Г4 - ПСИХИЧКИ
 Г - ДУШЕВНИ
??? - ПОРЕМЕЋАЈ

А1 - ДЕМОКРАТИЈА
А2 - АУТОКРАТИЈА
А3 - ТЕОКРАТИЈА
А4 - ОБЛИК
 А - ВЛАСТ
Б1 - КЊИГЕ
Б2 - ЗЕМЉИШТЕ
Б3 - НЕКРЕТНИНЕ
Б4 - ЗАВОЂЕЊЕ
 Б - КАТАСТАР
В1 - ПРЕМИЈЕР
В2 - NBA
В3 - ДРУГА
В4 - НАРОД
 В - ЛИГА
Г1 - НЕСТАШЛУК
Г2 - РОДА
Г3 - МАЈКА
Г4 - ИГРА
 Г - ДЕТЕ
??? - ОПШТИНА
