6798. емисија
103. циклус
35. емисија
06. 12. 2017.
www.youtube.com/watch?v=kgtmGWy7b1o

А1 - ВИЦ
А2 - ФОТА
А3 - ЛАЖ
А4 - ПАВЛОВИЋ
 А - МАСТ
Б1 - ХАМБУРГ
Б2 - КАЧАРЕВО
Б3 - ГРОНИК
Б4 - ДИМ
 Б - СЛАНИНА
В1 - АКАБСКИ
В2 - БИСКАЈСКИ
В3 - КВАРНЕРСКИ
В4 - ГВИНЕЈСКИ
 В - ЗАЛИВ
Г1 - БОЛЕСТ
Г2 - ВИРУС
Г3 - ИНФЛУЕНЦА
Г4 - ПТИЦЕ
 Г - ГРИП
??? - СВИЊА

А1 - СТРАНИЦЕ
А2 - БЕРМУДА
А3 - ГЕОМЕТРИЈА
А4 - ПИТАГОРА
 А - ТРОУГАО
Б1 - КАМИЛА
Б2 - КАМИЛА 
Б3 - КАМИЛА
Б4 - КАМИЛА...
 Б - КАРАВАН
В1 - ПАТИКЕ
В2 - ТИМ
В3 - ИГРА
В4 - БЕЛИ
 В - СПОРТ
Г1 - КРУГ
Г2 - РЕЗЕРВА
Г3 - ОБРУЧ
Г4 - ОСОБИНА
 Г - ТОЧАК
??? -АУТОМОБИЛ
