7251. емисија
111. циклус
29. емисија
05. 03. 2019.
www.youtube.com/watch?v=ig2xfwn1IT0

А1 - ШЉИВА
А2 - ТЕТРАПАК
А3 - ГУСТИ
А4 - НЕКТАР
 А - СОК
Б1 - ВЕРСКИ
Б2 - СВЕМИРСКИ
Б3 - МЕДИЦИНСКИ
Б4 - ПОНУДА
 Б - ТУРИЗАМ
В1 - КАПЕТАН
В2 - СЕВЕР
В3 - ЈУГ
В4 - ПИТА
 В - АМЕРИКА
Г1 - ПЕЧУРКЕ
Г2 - КАНАРИНАЦ
Г3 - ГУЛАШ
Г4 - РУЧАК
 Г - ЧОРБА
??? - ПАРАДАЈЗ

А1 - ПРИТИСАК
А2 - КОД
А3 - МУШИЦА
А4 - ЛУКА
 А - БАР
Б1 - АДВОКАТ
Б2 - НАМЕШТАЈ
Б3 - МАТЕРИЈАЛ
Б4 - БИРО
 Б - КАНЦЕЛАРИЈА
В1 - ЉУБАВ
В2 - ГАС
В3 - ПОД
В4 - СЕЗОНА
 В - ГРЕЈАЊЕ
Г1 - ГИТАРА
Г2 - ЈЕГУЉА
Г3 - ЕНЕРГИЈА
Г4 - ЧЕТКИЦА
 Г - ЕЛЕКТРИЧНА
??? - СТОЛИЦА
