5937. емисија
89. циклус
28. емисија
15. 05. 2015.
www.youtube.com/watch?v=XCvvuumJAhg

А1 - КУПА
А2 - ПЕПЕО
А3 - ХЕКЛА
А4 - КРАКАТАУ
 А - ВУЛКАН
Б1 - ТОЧАК
Б2 - ТОЧАК 
Б3 - ВОЖЊА
Б4 - ПУМПА
 Б - БИЦИКЛ
В1 - КАРТЕ
В2 - ГЕОГРАФСКИ
В3 - КЊИГА
В4 - МИТОЛОГИЈА
 В - АТЛАС
Г1 - ПЕЧУРКЕ
Г2 - ВОЋЕ
Г3 - ПАРТИЗАНИ
Г4 - КИШНА
 Г - ШУМА
??? - ПЛАНИНА

А1 - МРАВИ
А2 - ЛИМУН
А3 - КАРТОН
А4 - ДУКАТ
 А - ЖУТИ
Б1 - ЛЕПТИР
Б2 - КЛИКЕРИ
Б3 - КОЛАЖ
Б4 - РАЗНОБОЈНИ
 Б - ШАРЕНИ
В1 - БОЖИЋНИ
В2 - ВЕЛИКИ
В3 - УЗДРЖАВАЊЕ
В4 - ПЕТАК
 В - ПОСТ
Г1 - ЦРЕВО
Г2 - КРАЊ
Г3 - СРЕМ
Г4 - ЧАЈ
 Г - КОБАСИЦА
??? - ПАСУЉ

