5864. емисија
88. циклус
16. емисија
03. 03. 2015.
www.youtube.com/watch?v=95MO19Gut08

А1 - КОРИСТАН
А2 - НЕТЕОРЕТИЧАР
А3 - ПОДЕСАН
А4 - ПРИМЕЊИВ
 А - ПРАКТИЧАН
Б1 - ЧОВЕК
Б2 - ДАН
Б3 - УСПЕХ
Б4 - ВАЉАН
 Б - ДОБАР
В1 - КРАЉ
В2 - ГЛАВА
В3 - ДИНАСТИЈА
В4 - ЧЕШКА
 В - КРУНА
Г1 - ЊУЈОРК
Г2 - СЕКРЕТАР
Г3 - УНЕСКО
Г4 - УНИЦЕФ
 Г - УЈЕДИЊЕНЕ НАЦИЈЕ
??? - САВЕТ

А1 - УЧИНИТИ
А2 - МЕДВЕД
А3 - СЕРВИС
А4 - ТРАЖИТИ
 А - УСЛУГА
Б1 - ЛИГА
Б2 - ИСКРА
Б3 - НАГРАДА
Б4 - ЉУБАВ
 Б - ПРВА
В1 - ЈАД
В2 - МУКА
В3 - БЕДА
В4 - НЕПРИЛИКА
 В - НЕВОЉА
Г1 - МЕЂУСОБНА
Г2 - ЗАЈЕДНИЧКА
Г3 - ВЕЗА
Г4 - ЉУБАВ 
 Г - УЗАЈАМНА
??? - ПОМОЋ
