6102. емисија
92. циклус
10. емисија
10. 11. 2015.
www.youtube.com/watch?v=iwYvPCq6nIM

А1 - ЛЕТО
А2 - КУГЛА
А3 - ХЛАДНО
А4 - КАШИЧИЦА
 А - СЛАДОЛЕД
Б1 - САХРАНА
Б2 - ПОСТЕЉИНА
Б3 - ПУШКА
Б4 - КОВЧЕГ
 Б - САНДУК
В1 - КЛИМА
В2 - СТЕРЕО
В3 - АПАРАТ
В4 - ДОМАЋИНСТВО
 В - УРЕЂАЈ
Г1 - СВЕЖЕ
Г2 - БЕЛО
Г3 - ЦРВЕНО
Г4 - ПРОТЕИНИ
 Г - МЕСО
??? - ЗАМРЗИВАЧ

А1 - СИЈАМ
А2 - РЕП
А3 - МИШ
А4 - ОЧИ
 А - МАЧКА
Б1 - ШЕЋЕР
Б2 - СОК
Б3 - ФЛАШИЦА
Б4 - ЛЕК
 Б - СИРУП
В1 - РИНОФАРИНГИТИС
В2 - НАЗЕБ
В3 - КИЈАВИЦА
В4 - ВИРУС
 В - ПРЕХЛАДА
Г1 - ИМПУЛС
Г2 - ИРИТИРАЊЕ
Г3 - НЕРВ
Г4 - ЧУЛО
 Г - НАДРАЖАЈ
??? - КАШАЉ
