6858. емисија
104. циклус
34. емисија
04. 02. 2018.
www.youtube.com/watch?v=KnfWivFj9pM

А1 - БИРО
А2 - КАРТИЦА
А3 - ГОТОВИНСКИ
А4 - НАМЕНСКИ
 А - КРЕДИТ
Б1 - ПУТОВАЊЕ
Б2 - ВОДИЧ
Б3 - АГЕНЦИЈА
Б4 - ПАРАДАЈЗ
 Б - ТУРИЗАМ
В1 - ПОЛЕН
В2 - ПОЉЕ
В3 - ТУЧАК
В4 - ПРАШНИК
 В - ЦВЕТ
Г1 - ПОКЛОН
Г2 - ПОШТА
Г3 - ПАКОВАЊЕ
Г4 - МАШНА
 Г - ПАКЕТ
??? - АРАНЖМАН

А1 - КРОВ
А2 - ПЕТАО
А3 - ЧУНАК
А4 - ДЕДА МРАЗ
 А - ДИМЊАК
Б1 - КОЧНИЦА
Б2 - ЛИФТ
Б3 - ВУЧА
Б4 - ПЛАНИНАР
 Б - САЈЛА
В1 - РИБАЊЕ
В2 - ФАРБАЊЕ
В3 - БРИЈАЊЕ
В4 - ЦИПЕЛА
 В - ЧЕТКА
Г1 - КОЛО
Г2 - ИГРА
Г3 - ПОТКОВИЦА
Г4 - ДЕТЕЛИНА
 Г - СРЕЋА
??? - ОЏАЧАР
