7225. емисија
111. циклус
3. емисија
07. 02. 2019.
www.youtube.com/watch?v=4QzkgQMoz0Q

А1 - НОВАЦ
А2 - СРБИЈА
А3 - АЛЖИР
А4 - КУВАЈТ
 А - ДИНАР
Б1 - ЉУБАВНИ
Б2 - РАСКИД
Б3 - ХАЈДУЧКИ
Б4 - ОПРОШТАЈ
 Б - РАСТАНАК
В1 - ТИМОК
В2 - ХАЏИ ПРОДАН
В3 - СЕЉАК
В4 - РЕКА
 В - БУНА
Г1 - ОМЛАДИНА
Г2 - СКУПШТИНА
Г3 - СИНДИКАТ
Г4 - ЗДРАВЉЕ
 Г - ДОМ
??? - ЂАК

А1 - ТАБЕЛА
А2 - ВОЈСКА
А3 - ВОЗИЛА
А4 - СТУБАЦ
 А - КОЛОНА
Б1 - МЕРЕЊЕ
Б2 - МУЗИКА
Б3 - ТАБЛА
Б4 - ОРУЂА
 Б - ИНСТРУМЕНТ
В1 - МАСКА
В2 - ГРАМАТИКА
В3 - СУМЊА
В4 - НАЛИЧЈЕ
 В - ЛИЦЕ
Г1 - НОГА
Г2 - ТЕНИС
Г3 - ФИОКА
Г4 - МАСАЖА
 Г - СТО
??? - ЧЕЛО
