6222. емисија
94. циклус
8. емисија
09. 03. 2016.
www.youtube.com/watch?v=bIKxjZfCm1Q

А1 - БРАЗДЕ
А2 - БОТОКС
А3 - ДУБОКЕ
А4 - КРЕМА
 А - БОРЕ
Б1 - СВЕТОВИ
Б2 - НЕСРЕЋА
Б3 - САСТАНАК
Б4 - ЛАНАЦ
 Б - СУДАР
В1 - РИБА 
В2 - СРЖ
В3 - КОЖА
В4 - КЉУЧ
 В - КОСТ
Г1 - ЛИДЕР
Г2 - ПУТ
Г3 - ТИМ
Г4 - БАНДА
 Г - ВОЂА
??? - ЧЕЛО

А1 - ПРОЈЕКАТ
А2 - ПРАВЉЕЊЕ
А3 - СТВАРАЊЕ
А4 - РУЧНА
 А - ИЗРАДА
Б1 - ДВОРИШТЕ
Б2 - УЛАЗ
Б3 - ЗВЕКИР
Б4 - АЈНФОРТ
 Б - КАПИЈА
В1 - СОБА
В2 - КУХИЊА
В3 - СТОЛАР
В4 - КАНЦЕЛАРИЈА
 В - НАМЕШТАЈ
Г1 - ДОЗА
Г2 - ТЕРАПИЈА
Г3 - ГОРКИ
Г4 - ДЕЈСТВО
 Г - ЛЕКОВИ
??? - ФАБРИКА
