6992. емисија
106. циклус
46. емисија
18. 06. 2018.
www.youtube.com/watch?v=kHQvnzUb6s8
А1 - ИМПЕРАТОР
А2 - ВЕЛИКИ
А3 - НИШ
А4 - СИМОНОВ
 А - КОНСТАНТИН
Б1 - ДЕДА МРАЗ
Б2 - УМЕТНИК
Б3 - ЈАРАЦ
Б4 - СТАКЛЕНА
 Б - БРАДА
В1 - МАНИФЕСТ
В2 - КАПИТАЛ
В3 - ТРИР
В4 - ИНТЕРНАЦИОНАЛИЗАМ
 В - КАРЛ МАРКС
Г1 - АФОРИЗАМ
Г2 - РЕЧЕНИЦА
Г3 - ГЛАВА
Г4 - ТОК
 Г - МИСАО
??? - ФИЛОЗОФ

А1 - СИЈАЛИЦА
А2 - СИНУТИ
А3 - ВОДИЉА
А4 - ФИКС 
 А - ИДЕЈА
Б1 - ШЕМА
Б2 - МАКЕТА
Б3 - ЦРТЕЖ
Б4 - НАЗНАЧАВАЊЕ
 Б - СКИЦА
В1 - ГРУПА
В2 - КАУДИЉО
В3 - ФИРЕР
В4 - ДУЧЕ
 В - ВОЂА
Г1 - ПРОСТОР
Г2 - ПАРТНЕР
Г3 - ВОЗ
Г4 - САСТАНАК
 Г - ПОСЛОВНИ
??? - ПРОЈЕКАТ
