6659. емисија
101. циклус
18. емисија
20. 07. 2017.
www.youtube.com/watch?v=tNjzYOqNYEU

А1 - ПОЋОРЕК
А2 - ДАНОН
А3 - ДАВИЧО
А4 - ВАЛЈД
 А - ОСКАР
Б1 - МИЋУНОВИЋ
Б2 - МАНДУШИЋ
Б3 - КОСТИЋ
Б4 - РШУМОВИЋ
 Б - ВУК
В1 - ПАПИР
В2 - МЕТАЛ
В3 - РОБА
В4 - ВРЕМЕ
 В - НОВАЦ
Г1 - ЦРНИ
Г2 - ТАЈНИ
Г3 - ПЕНЗИЈЕ
Г4 - ОСИГУРАЊЕ
 Г - ФОНД
??? - НАГРАДА

А1 - ...УРЕДНИКА
А2 - ...РЕДИТЕЉА
А3 - СУДИЈСКИ
А4 - ЗАМЕНИК
 А - ПОМОЋНИК
Б1 - ВОЈВОДА
Б2 - ПРВАК
Б3 - НАСЛЕДНА
Б4 - ВИКОНТ
 Б - ТИТУЛА
В1 - СИТНА
В2 - КВАР
В3 - ОТКЛАЊАЊЕ
В4 - КОРЕКЦИЈА
 В - ПОПРАВКА
Г1 - КОВЕРАТ
Г2 - ЋИРИЛИЦА
Г3 - ПЕЧАТ
Г4 - АДРЕСА
 Г - ПИСМО
??? - МАЈСТОР
