6044. емисија
91. циклус
13. емисија
13. 09. 2015.
www.youtube.com/watch?v=VBzMKQUfqRw

А1 - ЕМУЛЗИЈА
А2 - СУСПЕНЗИЈА
А3 - КОНЦЕНТРАЦИЈА
А4 - КОЛОИДНИ
 А - РАСТВОР
Б1 - ПО
Б2 - ВАРДАР
Б3 - СЕНА
Б4 - МОРАВА
 Б - РЕКА
В1 - МЛИН
В2 - ЗРНО
В3 - КАШИКА
В4 - БЕЛА
 В - КАФА
Г1 - ЧАША
Г2 - МОРСКО
Г3 - ОЧНО
Г4 - ДОТАЋИ
 Г - ДНО
??? - ТАЛОГ

А1 - РИБОЛОВ
А2 - ЈАХАЊЕ
А3 - ВЕЛИНГТОН
А4 - МАЧАК
 А - ЧИЗМЕ
Б1 - ШЕСТ
Б2 - МЕТАК
Б3 - БУРЕНЦЕ
Б4 - КОЛТ
 Б - РЕВОЛВЕР
В1 - РАКЕТА
В2 - ВАСИОНА
В3 - БЕСКРАЈ
В4 - ОДИСЕЈА
 В - СВЕМИР
Г1 - МЛЕКО
Г2 - ЗВОНО
Г3 - РОГОВИ
Г4 - СИМЕНТАЛКА
 Г - КРАВА
??? - КАУБОЈ
