6472. емисија
98. циклус
14. емисија
14. 01. 2017.
www.youtube.com/watch?v=xAy7GAzOMTw

А1 - ХОЧА
А2 - КЛАДУША
А3 - НАГРАДА
А4 - МОРАВА
 А - ВЕЛИКА
Б1 - ПЛЕМЕНИТА
Б2 - ХИБРИДНА
Б3 - СЕМЕ
Б4 - ПОРЕКЛО
 Б - СОРТА
В1 - ШВАЈЦАРСКА
В2 - ЈУНАК
В3 - СТРЕЛАЦ
В4 - САМОСТРЕЛА
 В - ВИЉЕМ ТЕЛ
Г1 - ПЕЧАТ
Г2 - ВЕРИДБА
Г3 - ЗЛАТО
Г4 - ГОСПОДАР
 Г - ПРСТЕН
??? - ЈАБУКА

А1 - ФИЗИКА
А2 - ДИНАМИКА
А3 - СТАТИКА
А4 - КИНЕМАТИКА
 А - МЕХАНИКА
Б1 - АДМИРАЛ
Б2 - ЏЕЈМС
Б3 - ВЕШТАЧКИ
Б4 - БОБОТОВ
 Б - КУК
В1 - КРИВИНА
В2 - РУКА
В3 - ТЕНИС
В4 - ДУЖИНА
 В - ЛАКАТ
Г1 - КУГЛИЦА
Г2 - ФРАНЦУСКИ
Г3 - БРАЧНИ
Г4 - ПОМОЋНИ
 Г - ЛЕЖАЈ
??? - ЗГЛОБ
