6806. емисија
103. циклус
43. емисија
14. 12. 2017.
www.youtube.com/watch?v=RAeVm6PqwQw

А1 - ШКОЛА
А2 - СУД
А3 - РАСПРАВА
А4 - СТВАР
 А - ПРЕДМЕТ
Б1 - ВЕЛИЧАЊЕ
Б2 - ВОЉЕЊЕ
Б3 - ПРЕТЕРАНО
Б4 - СЛЕПО
 Б - ОБОЖАВАЊЕ
В1 - ЕКСТРЕМНИ
В2 - ВОДЕНИ
В3 - БЕЛИ
В4 - ИНДВИДУАЛНИ
 В - СПОРТ
Г1 - ГОРАНИ
Г2 - НОВИ
Г3 - ЗЕЛЕНИ
Г4 - ТАЛЕНТИ
 Г - МЛАДИ
??? - ИДОЛ

А1 - КУЋА
А2 - БЕТОН
А3 - ТЕКТОНСКА
А4 - СПОМЕН
 А - ПЛОЧА
Б1 - СПОРТСКО
Б2 - ХИПОДРОМ
Б3 - ЕНГЛЕСКА
Б4 - КВОТА
 Б - КЛАЂЕЊЕ
В1 - ПОДЛОГА
В2 - ВОЛЕЈ
В3 - ПАРАЛЕЛА
В4 - ТУРНИР
 В - ТЕНИС
Г1 - КОНЦЕРТ
Г2 - ПРОДОР
Г3 - ИНДВИДУАЛНО
Г4 - ГИТАРА
 Г - СОЛО
??? -СИНГЛ
