7127. емисија
108. циклус
59. емисија
01. 11. 2018.
www.youtube.com/watch?v=ZRvg_BFPe6E

А1 - БИБЕР
А2 - ЧИЛИ
А3 - ФЕФЕРОНИ
А4 - БОЈ
 А - ЉУТИ
Б1 - ПЕЧЕЊЕ
Б2 - БОЖИЋ
Б3 - ЈАБУКА
Б4 - РАЖАЊ
 Б - ПРАСЕ
В1 - ОРГАН
В2 - ЛОЈ
В3 - КАНАЛИ
В4 - НАПАД
 В - БУБРЕГ
Г1 - ЈЕЗИК
Г2 - РИМЉАНИ
Г3 - ВАТИКАН
Г4 - ДЕКЛИНАЦИЈА
 Г - ЛАТИНСКИ
??? - РЕН

А1 - КРИЛО
А2 - МАРАМИЦА
А3 - ЗАПАЉЕЊЕ
А4 - АЛВЕОЛЕ
 А - ПЛУЋА
Б1 - ЕНЕРГИЈА
Б2 - ЗРАЧЕЊЕ
Б3 - КАЛОРИЈА
Б4 - УДАР
 Б - ТОПЛОТА
В1 - ФИЗИЧАР
В2 - ИНДУКЦИЈА
В3 - КАВЕЗ
В4 - МАЈКЛ
 В - ФАРАДЕЈ
Г1 - СЛОВО
Г2 - УГЉЕНИК
Г3 - БРЗИНА
Г4 - СВЕТЛОСТ
 Г - "C"
??? - КАПАЦИТЕТ
