6845. емисија
104. циклус
21. емисија
22. 01. 2018.
www.youtube.com/watch?v=qGmTnwphYK8

А1 - ДРВО
А2 - ЧЕТИНАР
А3 - ПИНО
А4 - ГРАД
 А - БОР
Б1 - ЖИТО
Б2 - ЗМАЈ
Б3 - ЖЕТВА
Б4 - БАЛИРАЊЕ
 Б - КОМБАЈН
В1 - СЛАГАЛИЦА
В2 - РАСТАВЉАЊЕ
В3 - САСТАВЉАЊЕ
В4 - СИТНИ
 В - ДЕЛОВИ
Г1 - ГИТАРА
Г2 - ЈЕГУЉА
Г3 - ЕНЕРГИЈА
Г4 - СТРУЈА
 Г - ЕЛЕКТРИЧНА
??? - МАШИНА

А1 - СЕВЕРНИ
А2 - ГРЧКА
А3 - ТУРСКА
А4 - НИКОЗИЈА
 А - КИПАР
Б1 - РАГБИ
Б2 - ВЕЛИНГТОН
Б3 - МАОРИ
Б4 - КИВИ
 Б - НОВИ ЗЕЛАНД
В1 - СЕДЛО
В2 - КЛИМА
В3 - ДОМ
В4 - ЛАНАЦ
 В - ПЛАНИНА
Г1 - ...ТУРСКО
Г2 - ПРАЗНО
Г3 - НЕНАСЕЉЕНО
Г4 - ОБЕЋАЊЕ
 Г - ПУСТО
??? - ОСТРВО
