6545. емисија
99. циклус
26. емисија
28. 03. 2017.
www.youtube.com/watch?v=FMeBqUC2t28

А1 - МИСАО
А2 - КАПА
А3 - ЧЕЛО
А4 - ЛУДА
 А - ГЛАВА
Б1 - НОЈ
Б2 - ПЕСАК
Б3 - ЗИД
Б4 - ЛУПАТИ
 Б - ГЛАВА 
В1 - СПОМЕНИК
В2 - КУКА
В3 - ХРИШЋАНСТВО
В4 - ЧАСТ
 В - КРСТ
Г1 - ЖАР
Г2 - СЕЛИЦА
Г3 - ФЕНИКС
Г4 - СТАНАРИЦА
 Г - ПТИЦА
??? - ОРАО

А1 - ДОКАЗАНА
А2 - НЕПОСТОЈЕЋА
А3 - СУД
А4 - ПРАВО
 А - КРИВИЦА
Б1 - ПРИВРЕМЕНИ
Б2 - ПРОДУЖЕНИ
Б3 - СТАЛНИ
Б4 - ОБИТАВАЊ
 Б - БОРАВАК
В1 - ЛИСТА
В2 - РАСПИСАТИ
В3 - ПОСАО
В4 - МОЛБА
 В - КОНКУРС
Г1 - МАТУРА
Г2 - ДИПЛОМА
Г3 - ВОЖЊА
Г4 - КОМИСИЈА
 Г - ИСПИТ
??? - ПРИЈАВА
