7087. емисија
108. циклус
19. емисија
22. 09. 2018.
www.youtube.com/watch?v=zQlj9mykOiw

А1 - СТИЛСКИ
А2 - КАНЦЕЛАРИЈСКИ
А3 - КОМАДНИ
А4 - КУХИЊСКИ
 А - НАМЕШТАЈ
Б1 - МЕСЕЦ
Б2 - ДЕСЕТ
Б3 - ЦРВЕНИ
Б4 - РЕВОЛУЦИЈА
 Б - ОКТОБАР
В1 - СТО
В2 - ФИЗИОТЕРАПИЈА
В3 - ТАЈЛАНДСКА
В4 - ОРИЈЕНТАЛНА
 В - МАСАЖА
Г1 - ШИШАЊЕ
Г2 - ОНДУЛАЦИЈА
Г3 - ФЕНИРАЊЕ
Г4 - ХОЛИВУДСКИ
 Г - ФРИЗЕР
??? - САЛОН

А1 - ЗОНА
А2 - ФИГУРА
А3 - ПРЕЛАЗ
А4 - ОСТРВО
 А - ПЕШАК
Б1 - КЛАСА
Б2 - ЈАЗ
Б3 - СМЕНА
Б4 - ИЗГУБЉЕНА
 Б - ГЕНЕРАЦИЈА
В1 - ДАХИЈЕ
В2 - ПУГАЧОВ
В3 - МИЛЕТА
В4 - СПАРТАК
 В - БУНА
Г1 - ЗВОНО
Г2 - ТАБЛА
Г3 - ЧАС
Г4 - ОДМОР
 Г - ШКОЛА
??? - ЂАК
