6567. емисија
99. циклус
48. емисија
19. 04. 2017.
www.youtube.com/watch?v=bdDkYCRY1Zs

А1 - ЗАКОН
А2 - СИР
А3 - БУЏЕТ
А4 - ЦРНА
 А - РУПА
Б1 - СУД
Б2 - КОЧИЋ
Б3 - КУНА
Б4 - ПРУГЕ
 Б - ЈАЗАВАЦ
В1 - СРЕБРНА
В2 - ЦРВЕНА
В3 - ПУСТИЊА
В4 - БАСНА
 В - ЛИСИЦА
Г1 - НАТУРАЛИЗАЦИЈА
Г2 - ОПТУЖУЈЕМ
Г3 - ЖЕРМИНАЛ
Г4 - НАНА
 Г - ЕМИЛ ЗОЛА
??? - ЈАЗБИНА

А1 - СКАНИЈА
А2 - ШЛЕП
А3 - ИСТОВАР
А4 - ТАТРА
 А - КАМИОН
Б1 - РЕСТОРАН
Б2 - ПОШТА
Б3 - КОМПОЗИЦИЈА
Б4 - ТЕРЕТ
 Б - ВАГОН
В1 - ПОГОН
В2 - ЧВРСТО
В3 - ТЕЧНО
В4 - ЕНЕРГИЈА
 В - ГОРИВО
Г1 - ПЛИВАЊЕ
Г2 - ОАЗА
Г3 - ЛЕД
Г4 - СОДА
 Г - ВОДА
??? - ЦИСТЕРНА
