6988. емисија
106. циклус
42. емисија
14. 06. 2018.
www.youtube.com/watch?v=UA1M5qZ4mzg

А1 - ЕКИПА
А2 - СКЛОП
А3 - САДРЖАЈ
А4 - ПИСМЕНИ
 А - САСТАВ
Б1 - ПРОЦЕС
Б2 - МОЗАК
Б3 - РАСУЂИВАЊЕ
Б4 - РАЗБОРИТО
 Б - РАЗМИШЉАЊЕ
В1 - ДИСКУСИЈА
В2 - ДЕБАТА
В3 - СУД
В4 - ЈАВНА
 В - РАСПРАВА
Г1 - УЛИЦА
Г2 - УЛОГА
Г3 - ГЛУМИЦА
Г4 - НАЈВАЖНИЈА
 Г - ГЛАВНА
??? - ТЕМА

А1 - ЦЕЛОКУПНИ 
А2 - НЕДЕЉИВИ
А3 - ДОСТОЈАНСТВО
А4 - ЛИЧНИ
 А - ИНТЕГРИТЕТ
Б1 - СЛУЖБА
Б2 - ОБЕЛЕЖЈЕ
Б3 - КАСА
Б4 - ГРАНИЦА
 Б - ДРЖАВА
В1 - ПРАЗАН
В2 - ПОСЛОВНИ
В3 - КАЗНЕНИ
В4 - СТАМБЕНИ
 В - ПРОСТОР
Г1 - ВОЉА
Г2 - ВОЖЊА
Г3 - ТРГОВИНА
Г4 - ЛИБЕРАЛНА
 Г - СЛОБОДНА
??? - ТЕРИТОРИЈА
