7041. емисија
107. циклус
34. емисија
06. 08. 2018.
www.youtube.com/watch?v=TdomuW_6A8E

А1 - ЈУТРО
А2 - ПАРТЕР
А3 - ВРАТИЛО
А4 - ВЕЖБА
 А - ГИМНАСТИКА
Б1 - ЦРЕП
Б2 - РОДЕ
Б3 - ХИМАЛАЈИ
Б4 - ТАВАН
 Б - КРОВ
В1 - СТУБ
В2 - КОЛИЦА
В3 - ЗВУК
В4 - АВИОН
 В - НОСАЧ
Г1 - МОРАВА
Г2 - ГЛОМАЗНА
Г3 - НАВАЛА
Г4 - ПЛАНА
 Г - ВЕЛИКА
??? - ГРЕДА

А1 - ОГРЛИЦА
А2 - ОМЧА
А3 - НОЈ
А4 - ДИМЉЕНИ
 А - ВРАТ 
Б1 - БЕРМУДИ
Б2 - ОРТОЦЕНТАР
Б3 - ПИТАГОРА
Б4 - ПАСКАЛ
 Б - ТРОУГАО
В1 - КОНАЦ
В2 - ГАЈТАН
В3 - БУБА
В4 - КИНА
 В - СВИЛА
Г1 - ЗАЧЕТНИК
Г2 - ИСТРАЖИВАЊЕ
Г3 - ТИТО
Г4 - МАЛЕНИ
 Г - ПИОНИР
??? - МАРАМА
