6511. емисија
98. циклус
53. емисија
22. 02. 2017.
www.youtube.com/watch?v=Er46kRVwb4A
А1 - КРУЖНИ
А2 - САОБРАЋАЈНИ
А3 - ПЛАНЕТАРНИ
А4 - ЛЕНКИН
 А - ПРСТЕН
Б1 - ГРАД
Б2 - ТИГАР
Б3 - КАЛИФ
Б4 - ИРАК
 Б - БАГДАД
В1 - БОЦА
В2 - ХАМЛЕТ
В3 - ОТАЦ
В4 - УТВАРА
 В - ДУХ
Г1 - ГАС
Г2 - БАТЕРИЈА
Г3 - СВЕТЛО
Г4 - СИГНАЛ
 Г - ЛАМПА
??? - АЛАДИН

А1 - ИГЛА
А2 - МАГНЕТ
А3 - НАВИГАЦИЈА
А4 - СЕВЕР
 А - КОМПАС
Б1 - КОНАЦ
Б2 - ИНДУКЦИЈА
Б3 - НАМОТАЈ
Б4 - ПУПИН
 Б - КАЛЕМ
В1 - ГРАД 
В2 - БИБЛИЈА
В3 - ТРУБЕ
В4 - ЗИДОВИ
 В - ЈЕРИХОН
Г1 - ТРОЈА
Г2 - НАПОЛЕОН
Г3 - ВЕЛИКИ
Г4 - ХЛАДНИ
 Г - РАТ
??? - РУЖА
