6679. емисија
101. циклус
38. емисија
09. 08. 2017.
www.youtube.com/watch?v=DOlf77YPfsY

А1 - АМБАЛАЖА
А2 - БОМБОНА
А3 - ЧОКОЛАДА
А4 - АЛБУМ
 А - ОМОТ
Б1 - ПРОСТ
Б2 - КЛОТ
Б3 - РЕБАРЦА
Б4 - ГРАДИШТАНСКИ
 Б - ПАСУЉ
В1 - СОС
В2 - ПРОТЕИН
В3 - GMO
В4 - ТОФУ
 В - СОЈА
Г1 - РИЗИ-БИЗИ
Г2 - КОНЗЕРВА
Г3 - ПРИНЦЕЗА
Г4 - ЗРНО
 Г - ГРАШАК
??? - МАХУНА

А1 - ЗРАЧЕЊЕ
А2 - ПРИМАРНА
А3 - НОВЧАНА
А4 - ГАСОВИ
 А - ЕМИСИЈА
Б1 - КАЗНЕНИ
Б2 - ИГРИЦА
Б3 - ОДБОЈКА
Б4 - БОДОВИ
 Б - ПОЕНИ
В1 - ПОЛИЦИЈА
В2 - ЛОВ
В3 - ПСИ
В4 - ХАЈКА
 В - ПОТЕРА
Г1 - МИШ БЕЛИ
Г2 - ОСЕЋАЊЕ
Г3 - ПОТКОВИЦА
Г4 - ИГРА
 Г - СРЕЋА
??? - КВИЗ
