6331. емисија
95. циклус
56. емисија
26. 06. 2016.
www.youtube.com/watch?v=SE-C2NXbD6k

А1 - ЗГЛОБ
А2 - ВОДА
А3 - МЕНИСКУС
А4 - ГЕНЕРАЦИЈА
 А - КОЛЕНО
Б1 - МОТОР
Б2 - ОБРТАЊЕ
Б3 - ЛЕЖАЈ
Б4 - ПЧЕЛА
 Б - РАДИЛИЦА
В1 - РЕШЕТКА
В2 - ВАНИЛА
В3 - ВУЧА
В4 - ГАРДЕРОБА
 В - ШИПКА
Г1 - ЈУТРО
Г2 - ПАРТЕР
Г3 - САЛА
Г4 - СТРУЊАЧА
 Г - ГИМНАСТИКА
??? - ВРАТИЛО

А1 - ПТИЦА
А2 - ФРАК
А3 - АНТАРКТИК
А4 - ЛИНУКС
 А - ПИНГВИН
Б1 - ГИБРАЛТАР
Б2 - ВЕРИНГ
Б3 - КЕРЧ
Б4 - ДАРДАНЕЛИ
 Б - МОРЕУЗ
В1 - ГРОМ
В2 - НЕБО
В3 - ПАНТАЛОНЕ
В4 - ПРОЛОМ
 В - ОБЛАК
Г1 - КУКА
Г2 - МИША
Г3 - НЕМО
Г4 - ГРАНТ
 Г - КАПЕТАН
??? - МАГЕЛАН
