7050. емисија
107. циклус
43. емисија
15. 08. 2018.
www.youtube.com/watch?v=Sy6usYbX2LY

А1 - СУДСКИ
А2 - НЕПРОМИШЉЕНИ
А3 - ТЕХНОЛОШКИ
А4 - ПРОЦЕС
 А - ПОСТУПАК
Б1 - РУКОВОДИЛАЦ
Б2 - ЗГРАДА
Б3 - ПОЗОРИШТЕ
Б4 - ЗАТВОР
 Б - УПРАВНИК
В1 - ЈАВНО
В2 - ПРИВАТНО
В3 - УСЛУЖНО
В4 - ФИРМА
 В - ПРЕДУЗЕЋЕ
Г1 - ПОЗАЈМИЦА
Г2 - КОЦКАР
Г3 - ВРАЋАЊЕ
Г4 - ЗАО ДРУГ
 Г - ДУГ
??? - СТЕЧАЈ

А1 - НАСИП
А2 - ХИДРОЦЕНТРАЛА
А3 - ХОЛАНДИЈА
А4 - ДАБАР
 А - БРАНА
Б1 - ПРЕПОНА
Б2 - РАМПА
Б3 - СМЕТЊА
Б4 - САВЛАДАВАТИ
 Б - ПРЕПРЕКА
В1 - ЛИНГВИСТИЧКИ
В2 - ПРОГРАМ
В3 - ГОВОР
В4 - СЛУЖБЕНИ
 В - ЈЕЗИК
Г1 - ВИЉУШКА
Г2 - ИЗОЛАЦИЈА
Г3 - СИГНАЛИЗАЦИЈА
Г4 - КУТИЈА
 Г - ЗВУЧНА
??? - БАРИЈЕРА
