5829. емисија
87. циклус
42. емисија
27. 01. 2015.
www.youtube.com/watch?v=IFj-I_Wpf-M

А1 - ЗЕМЉА
А2 - БИЛИЈАР
А3 - ФУДБАЛ
А4 - МРТВА
 А - ЛОПТА
Б1 - РОЂЕНА
Б2 - МЛАЂА
Б3 - ЧАСНА
Б4 - БЛИЗНАКИЊА
 Б - СЕСТРА
В1 - ТИТАН
В2 - ПРШЉЕН
В3 - МАПЕ
В4 - ГЕОГРАФИЈА
 В - АТЛАС
Г1 - ГАЛЕН
Г2 - ЕСКУЛАП
Г3 - ЧЕХОВ
Г4 - ЗМАЈ
 Г - ЛЕКАР
??? - МЕДИЦИНА

А1 - ОБАВЕШТЕЊЕ
А2 - ИНФОРМАЦИЈА
А3 - НАЈНОВИЈА
А4 - ДОБРА
 А - ВЕСТ
Б1 - КРАЉЕВИЋ
Б2 - ПРОСЈАК
Б3 - МИСИСИПИ
Б4 - ТОМ СОЈЕР
 Б - МАРК ТВЕН
В1 - ХАЈДУЦИ
В2 - ДР
В3 - ПРОТЕКЦИЈА
В4 - ПОКОЈНИК
 В - НУШИЋ
Г1 - КЉУН
Г2 - ЛОВ
Г3 - ПАТА
Г4 - ПЕКИНГ
 Г - ПАТКА
??? - НОВИНАР
