6150. емисија
92. циклус
58. емисија
28. 12. 2015.
www.youtube.com/watch?v=S6ufeNcOxP4

А1 - ИМЕ
А2 - ТВЕН
А3 - ШАГАЛ
А4 - ОВЕРМАРС
 А - МАРК
Б1 - ЛЕГЕНДА
Б2 - РЕВОЛУЦИЈА
Б3 - ГЕРИЛА
Б4 - КАСТРО
 Б - ЧЕ ГЕВАРА
В1 - НАРОД
В2 - СЛУЖЕЊЕ
В3 - РОК
В4 - ЧИЗМА
 В - ВОЈСКА
Г1 - КОЊИ
Г2 - ГОЛМАН
Г3 - ХИТ
Г4 - СВЕЧАНОСТ
 Г - ПАРАДА
??? - КОМАНДАНТ

А1 - ПРИРОДНИ
А2 - РЕАЛНИ
А3 - ЦЕЛИ
А4 - ЛОТО
 А - БРОЈЕВИ
Б1 - ЗЕЛЕНА
Б2 - НАФТНА
Б3 - ЖИТНА
Б4 - ШАХОВСКА
 Б - ПОЉА
В1 - НАГРАДА
В2 - ЛОПТА
В3 - СРЕЋА
В4 - КОЦКА
 В - ИГРА
Г1 - СУДОВИ
Г2 - МИШЉЕЊЕ
Г3 - ЗАКОНИ
Г4 - НАУКА
 Г - ЛОГИКА
??? - СУДОКУ
