6348. емисија
96. циклус
12. емисија
12. 09. 2016.
www.youtube.com/watch?v=T00pBvpeZb4

А1 - ВИСОКА
А2 - ПОСЛЕДЊА
А3 - РЕВИЈА
А4 - ПИСТА
 А - МОДА
Б1 - МИЛАН
Б2 - МАРГИТА
Б3 - БОЈАН
Б4 - ГРУПА
 Б - ЕКВ
В1 - ЛОКАЛ
В2 - РОДОЉУБ
В3 - МЕЛ ГИБСОН
В4 - ФИЛМ
 В - ПАТРИОТА
Г1 - ГРЕШКА
Г2 - ПРИВЛАЧНОСТ
Г3 - СУДБИНСКА
Г4 - КОБНА
 Г - ФАТАЛНА
??? - ЉУБАВ

А1 - ПРИНОС
А2 - БЛИСКИ
А3 - ПЛЕМЕНИТИ
А4 - ЉУДСКИ
 А - РОД
Б1 - ДРЖАТИ
Б2 - ЧАСТ
Б3 - ГОВОР
Б4 - СТРАНА
 Б - РЕЧ
В1 - ШКОЛА
В2 - ШТИВО
В3 - ПОНАВЉАЊЕ
В4 - НОВО
 В - ГРАДИВО
Г1 - ЈЕЛО
Г2 - ДЕЧЈИ
Г3 - УГОВОР
Г4 - ДОПУНА
 Г - ДОДАТАК
??? - ИМЕНИЦА
