6915. емисија
105. циклус
30. емисија
02. 04. 2018.
www.youtube.com/watch?v=7wlyyRxse4o

А1 - ПОПРАВКА
А2 - ПРЕГРАДА
А3 - КРЕАТИВНА
А4 - СЕРВИСНА
 А - РАДИОНИЦА
Б1 - ПАРТИЈА
Б2 - ПРОБЛЕМ
Б3 - ГАМБИТ
Б4 - ПОТЕЗ
 Б - ШАХ
В1 - ВРЕДНОСНО
В2 - ОТВОРЕНО
В3 - КЛИНАСТО
В4 - СВЕТО
 В - ПИСМО
Г1 - КОКТЕЛ
Г2 - ПИЦА
Г3 - КРАЉИЦА
Г4 - САВОЈСКА
 Г - МАРГАРИТА
??? - МАЈСТОР

А1 - НЕБО
А2 - СУНЦЕ
А3 - МОРЕ
А4 - ФИЛМ
 А - ЗВЕЗДА
Б1 - ДЕЈСТВО
Б2 - СПРЕГ
Б3 - МАГНЕТ
Б4 - СВЕТСКА
 Б - СИЛА
В1 - ЗЛАТО
В2 - ОСЛОНАЦ
В3 - ПРОСТА
В4 - МАШИНА
 В - ПОЛУГА
Г1 - ТЕМЕ
Г2 - СИНУС
Г3 - СТЕПЕН
Г4 - ГАРНИТУРА
 Г - УГАО
??? - КРАК
