6696. емисија
101. циклус
55. емисија
26. 08. 2017.
www.youtube.com/watch?v=RuWKC-eoaQE

А1 - ВИНО
А2 - ИТАЛИЈАНСКИ
А3 - КАРЛОВАЧКИ
А4 - БАНАТСКИ
 А - РИЗЛИНГ
Б1 - КОБАСИЦЕ
Б2 - ДИСЦИПЛИНА
Б3 - ПИВО
Б4 - МАРКА
 Б - НЕМАЧКА
В1 - ВЕНЕЦИЈА
В2 - САНКТ ПЕТЕРБУРГ
В3 - АМСТЕРДАМ
В4 - НАВОДЊАВАЊЕ
 В - КАНАЛИ
Г1 - НАУЧНА
Г2 - АРМИЈСКА
Г3 - ПОКРАЈИНА
Г4 - ОКРУГ
 Г - ОБЛАСТ
??? - РАЈНА

А1 - НЕНАСЕЉЕНО 
А2 - БЕЗЉУДНА
А3 - ЗЕМЉА
А4 - ЖЕЉА
 А - ПУСТА
Б1 - МАК
Б2 - СВИЛЕНА БУБА
Б3 - МЕТАК
Б4 - КАПСУЛА
 Б - ЧАУРА
В1 - СТАКЛО
В2 - КРИСТАЛ
В3 - ВИНО 
В4 - ЗДРАВИЦА
 В - ЧАША
Г1 - ЛЕГЕНДА
Г2 - ЛОВАЦ
Г3 - ПРИПОВЕТКА
Г4 - КРАТКА
 Г - ПРИЧА
??? - ПРАЗНА
