7156. емисија
109. циклус
27. емисија
30. 11. 2018.
www.youtube.com/watch?v=2u2MDMCr34k

А1 - ЗМИЈА
А2 - ЛУИЂИ ГАЛВАНИ 
А3 - БАТАК
А4 - ВОДОЗЕМАЦ
 А - ЖАБА
Б1 - ПЛАВА
Б2 - ЖАР
Б3 - РАЈ
Б4 - ГНЕЗДО
 Б - ПТИЦА
В1 - ФУТУР
В2 - ПОВРАТАК
В3 - ВАЉЕВО
В4 - ПОДГОРИЦА
 В - БУДУЋНОСТ
Г1 - ПРОГРЕСИЈА
Г2 - СРЕДИНА
Г3 - ЛОБАЧЕВСКИ
Г4 - ЕУКЛИД
 Г - ГЕОМЕТРИЈА
??? - ПЕРСПЕКТИВА

А1 - РАЈХСТАГ
А2 - ТОП ГАН
А3 - КОБАСИЦА
А4 - ЗИД
 А - БЕРЛИН
Б1 - ДУНАВ
Б2 - ВАЛЦЕР
Б3 - ШНИЦЛА
Б4 - СЕЦЕСИЈА
 Б - БЕЧ
В1 - УГОСТИТЕЉСТВО
В2 - СЕОСКИ
В3 - ВОДИЧ
В4 - АГЕНЦИЈА
 В - ТУРИЗАМ
Г1 - ЈАВНИ
Г2 - ПРЕСЕК
Г3 - УНИЈА
Г4 - ПРАЗАН
 Г - СКУП
??? - КОНГРЕС
