7245. емисија
111. циклус
23. емисија
27. 02. 2019.
www.youtube.com/watch?v=t0b6YFdxAPE

А1 - ЧАС
А2 - ПАС
А3 - АКАДЕМИЈА
А4 - УНИФОРМА
 А - ПОЛИЦИЈА
Б1 - ЛИСИНАЦ
Б2 - КАТАНЕЦ
Б3 - ШОЈИЋ
Б4 - ЈАРИЋ
 Б - СРЕЋКО
В1 - ДРУМ
В2 - ВЕЛОДРОМ
В3 - КАЦИГА
В4 - ХРОНОМЕТАР
 В - БИЦИКЛИЗАМ
Г1 - ТВ
Г2 - РАДИО
Г3 - ЗНАЊЕ
Г4 - ТАКМИЧАРИ
 Г - КВИЗ
??? - ПОТЕРА

А1 - ЛОВАЦ
А2 - СПОРТ
А3 - ДЕИОНИЦЕ
А4 - ПРИРОДА
 А - ДРУШТВО
Б1 - ВАЗДУХ
Б2 - АТОМ
Б3 - ТУРИЗАМ
Б4 - ВРАЊЕ
 Б - БАЊА
В1 - ОСТРВО
В2 - ДРЖАВА
В3 - ВИТЕЗОВИ
В4 - КРСТ
 В - МАЛТА
Г1 - ДОМ
Г2 - ВУК
Г3 - ПАПАГАЈ
Г4 - КАМИОН
 Г - СИВИ
??? - СОКО
