6954. емисија
106. циклус
8. емисија
11. 05. 2018.
www.youtube.com/watch?v=xGg8if0wB_0

А1 - СТУДЕНТИ
А2 - ЛОРДОВИ
А3 - ВЕШАЊЕ
А4 - ЛОВЦИ
 А - ДОМ
Б1 - СУД
Б2 - САВЕЗ
Б3 - ОДСЕК
Б4 - ПОЗИВ
 Б - ВОЈНИ
В1 - ПЛОЧИЦЕ
В2 - БАШТА
В3 - ТАЧКИЦЕ
В4 - ИГРА
 В - ДОМИНЕ
Г1 - ИНДИЈА
Г2 - ОДБРАНА
Г3 - ТИТУЛА
Г4 - ПОТЕЗ
 Г - ШАХ
??? - ПЕНЗИОНЕР

А1 - ВАЗДУХ
А2 - НЕВЕСИЊЕ
А3 - ЛОВАЦ
А4 - АУТОМАТ
 А - ПУШКА
Б1 - ЖИВИ
Б2 - БИЋЕ
Б3 - ЈЕДНОЋЕЛИЈСКИ
Б4 - ВИШЕЋЕЛИЈСКИ
 Б - ОРГАНИЗАМ
В1 - ТАЧКА
В2 - МИСАО
В3 - ПРОСТА
В4 - ЗАВИСНА
 В - РЕЧЕНИЦА
Г1 - ПРИМИРЈЕ
Г2 - БРАК
Г3 - СПАЈАЊЕ
Г4 - САСТАВЉАЊЕ
 Г - СКЛАПАЊЕ
??? - ДЕЛОВИ
