5699. емисија
85. циклус
34. емисија
19. 09. 2014.


А1 - ДЕЈВИС
А2 - ШАМПИОНИ
А3 - ТАКМИЧЕЊЕ
А4 - ИСПАДАЊЕ
 А - КУП
Б1 - МЛЕКО
Б2 - ФЕРМЕНТАЦИЈА
Б3 - ДОРУЧАК
Б4 - БУРЕК
 Б - ЈОГУРТ
В1 - БИСТРИ
В2 - ГУСТИ
В3 - КАШАСТИ
В4 - СЛАМКА
 В - СОК
Г1 - МАЛТОЗА
Г2 - ЛАКТОЗА
Г3 - УГЉЕНИ ХИДРАТИ
Г4 - РЕПА
 Г - ШЕЋЕР
??? - ВОЋЕ

А1 - ОВЦА
А2 - ШУМА
А3 - САБОР
А4 - ЗАВИЈАЊЕ
 А - ВУК
Б1 - ШТАПИЋ
Б2 - МЕРЛИН
Б3 - ХАРИ ПОТЕР
Б4 - ШЕГРТ
 Б - ЧАРОБЊАК
В1 - СНОВИ
В2 - НЕЕСТЕТСКИ
В3 - ГРОЗНИ
В4 - НЕУГЛЕДНИ
 В - РУЖНИ
Г1 - ПЛЕС
Г2 - ИНСПЕКТОР
Г3 - ХАРИ 
Г4 - БЛАТЊАВИ
 Г - ПРЉАВИ
??? - ЗЛИ
