6883. емисија
104. циклус
59. емисија
01. 03. 2018.
www.youtube.com/watch?v=PfIaKs6nOzs

А1 - ПОДНЕВАК
А2 - ЛИНИЈА
А3 - МАПА
А4 - ГЕОГРАФСКА ДУЖИНА
 А - МЕРИДИЈАН
Б1 - АПСОЛУТНА
Б2 - ПОЗИТИВНА
Б3 - ФАЗА
Б4 - ФРИЗУРА
 Б - НУЛА
В1 - ЦРЊАНСКИ
В2 - РОМАН
В3 - ГРАД
В4 - ЏЕК
 В - ЛОНДОН
Г1 - ПОСМАТРАЊЕ
Г2 - ЗВЕЗДЕ
Г3 - ТЕЛЕСКОП
Г4 - ПРОСТОРИЈА
 Г - ОПСЕРВАТОРИЈА
??? - ГРИНИЧ

А1 - ГАРДА
А2 - КУКА
А3 - ПЛАНИНА
А4 - ШКОЛА
 А - СТАРА
Б1 - РЕКА
Б2 - ТВРТКО
Б3 - ЛОНАЦ
Б4 - МЛАДА
 Б - БОСНА
В1 - КАМЕН
В2 - КРЕЧЊАК
В3 - ПЛАНИНЕ
В4 - ЛОМ
 В - КРШ
Г1 - ЛИСТ
Г2 - СУШЕЊЕ
Г3 - ЛУЛА
Г4 - ИНДУСТРИЈА
 Г - ДУВАН
??? - ХЕРЦЕГОВИНА
