6255. емисија
94. циклус
41. емисија
11. 04. 2016.
www.youtube.com/watch?v=rVOEEnla9m4

А1 - ЛИНИЈА
А2 - ПАРАЛЕЛНА
А3 - ОРДИНАТА
А4 - АПСЦИСА
 А - ПРАВА
Б1 - ФК
Б2 - САНКТ ПЕТЕРБУРГ
Б3 - ЧАСОВНИК
Б4 - ПОДНЕ
 Б - ЗЕНИТ
В1 - ПАРАГРАФ
В2 - УГОВОР
В3 - ЗАКОН
В4 - ПРИЛОШКА
 В - ОДРЕДБА
Г1 - МАСТ
Г2 - СНЕГ
Г3 - ГВОЖЂЕ
Г4 - ПРОЦЕС
 Г - ТОПЉЕЊЕ
??? - ТАЧКА

А1 - ПАРАДАЈЗ
А2 - ГРЕЈПФРУТ
А3 - ФЕРАРИ
А4 - КРСТ
 А - ЦРВЕНИ
Б1 - СЛАВА
Б2 - ЧОКОЛАДНИ
Б3 - СЛАНИ
Б4 - ДЕЗЕРТ
 Б - КОЛАЧ
В1 - УТЕХА
В2 - БОБ
В3 - БИБЕР
В4 - БИСЕР
 В - ЗРНО
Г1 - ТОЧАК
Г2 - КАМЕН
Г3 - БРАШНО
Г4 - КАФА
 Г - МЛИН
??? - МАК
