7152. емисија
109. циклус
23. емисија
26. 11. 2018.
www.youtube.com/watch?v=srOjE430kFM

А1 - СПУТЊИК
А2 - ТАЊИР
А3 - МЕСЕЦ
А4 - СНИМАК
 А - САТЕЛИТ
Б1 - ИНСТАГРАМ
Б2 - МАЈСПЕЈС
Б3 - ФЕЈСБУК
Б4 - ФИЛМ
 Б - ДРУШТВЕНА МРЕЖА
В1 - ВЕЛИКА
В2 - МАЛА
В3 - ВЕЧЕ
В4 - ИСПИТ
 В - МАТУРА
Г1 - ДЕЧАК
Г2 - ДЕВОЈЧИЦА
Г3 - ПОТОМАК
Г4 - НИЧИЈЕ
 Г - ДЕТЕ
??? - ПРАТИЛАЦ

А1 - ГВАЈАНА
А2 - РЕВОЛУЦИЈА
А3 - САЛАТА
А4 - ПОЛИНЕЗИЈА
 А - ФРАНЦУСКА
Б1 - МАДЕИРА
Б2 - ВАСКО ДЕ ГАМА
Б3 - ФАДО
Б4 - АЗОРИ
 Б - ПОРТУГАЛИЈА
В1 - УЗВИШЕЊЕ
В2 - ХРПА
В3 - КРАЉ
В4 - ГОЛГОТА
 В - БРДО
Г1 - ТИТАНИ
Г2 - НОВИНЕ
Г3 - РОВ
Г4 - ФЕР
 Г - БОРБА
??? - ПЕТАО
