5917. емисија
89. циклус
8. емисија
25. 04. 2015.
www.youtube.com/watch?v=M6AiSCy_WO8

А1 - СЕНКА
А2 - МАЊИНА
А3 - ПРЕМИЈЕР
А4 - ПОТПРЕДСЕДНИК
 А - ВЛАДА
Б1 - ОСИГРАЊЕ
Б2 - ШКОЉКА
Б3 - ГАС
Б4 - СИРЕНА
 Б - АУТОМОБИЛ
В1 - СПРАТ
В2 - ЛОКАЛ
В3 - ХАРМОНИКА
В4 - ЗГЛОБ
 В - АУТОБУС
Г1 - ЗМАЈЕВЕ ИГРЕ
Г2 - ИГРАЛИШТЕ
Г3 - НОВИНЕ
Г4 - СЕЛО
 Г - ДЕЧЈЕ
??? - СЕДИШТЕ

А1 - ПЛОЧИЦЕ
А2 - ТАЊИРИ
А3 - ШЕРПЕ
А4 - ЕЛЕМЕНТИ
 А - КУХИЊА
Б1 - КАБИНА
Б2 - ПАРА
Б3 - ТУРСКА
Б4 - ПЕШКИР
 Б - КУПАТИЛО
В1 - ВАРЕЊЕ
В2 - БРИЈАЊЕ
В3 - ПОКЕР
В4 - РАДИО
 В - АПАРАТ
Г1 - ЗУБИ
Г2 - НАСЛАГА
Г3 - ВОДА
Г4 - ВЕШ-МАШИНА
 Г - КАМЕНАЦ
??? - БОЈЛЕР
