7171. емисија
109. циклус
42. емисија
15. 12. 2018.
www.youtube.com/watch?v=oP3lEYdXDV8

А1 - ФАКУЛТЕТ
А2 - АДВОКАТ
А3 - ГРАЂАНСКО
А4 - ЉУДСКО
 А - ПРАВО
Б1 - ПАЛАТА
Б2 - СПОМЕНИЦА
Б3 - ЈАДРАН
Б4 - БУНКЕРИ
 Б - АЛБАНИЈА
В1 - СПАВАЊЕ
В2 - ЛЕГИОНАРИ
В3 - МОРЕ
В4 - ХРОНИЧНА
 В - БОЛЕСТ
Г1 - ДРАГОЉУБ
Г2 - МЕСОЖДЕРКА
Г3 - КОРОВ
Г4 - УКРАС
 Г - БИЉКА
??? - ЛЕК

А1 - СТОНО
А2 - ПЕНУШАВО
А3 - МУШИЦА
А4 - ПОДРУМ
 А - ВИНО
Б1 - ТКИВО
Б2 - КИСЕЛИНА
Б3 - НАСЛАГЕ
Б4 - ПАВЛОВИЋ
 Б - МАСТ
В1 - МОРЕ 
В2 - ОДЕЛО
В3 - МЕСО 
В4 - ЗЛАТО
 В - БЕЛО
Г1 - МЛЕКО
Г2 - ТЕСТО
Г3 - СЛАТКО
Г4 - ДРВО
 Г - КИСЕЛО
??? - ГРОЖЂЕ
