7073. емисија
108. циклус
5. емисија
08. 09. 2018.
www.youtube.com/watch?v=odBbUV-ynn4

А1 - ХИЧКОК
А2 - ДРВО
А3 - МОЧВАРА
А4 - НЕБО
 А - ПТИЦЕ
Б1 - СЛОВЕНИ
Б2 - ЈУЖНИ
Б3 - КРСНА СЛАВА
Б4 - ЛУЖИЦА
 Б - СРБИ
В1 - УСТАНАК
В2 - ЖИВАЉ
В3 - ПУК
В4 - ЛИГА
 В - НАРОД
Г1 - ГОРИЦА
Г2 - КЛАДУША
Г3 - ПЛАНА
Г4 - БРИТАНИЈА
 Г - ВЕЛИКА
??? - СЕОБА

А1 - КРИТИКЕ
А2 - БРОЈКЕ
А3 - ДНЕВНИК
А4 - ЂАЧКА КЊИЖИЦА
 А - ОЦЕНЕ
Б1 - МАТЕМАТИКА
Б2 - ПОДАЦИ
Б3 - ОБРАДА
Б4 - УЗОРАК
 Б - СТАТИСТИКА
В1 - ЕКВАТОР
В2 - ХЛЕБ
В3 - ЈЕЗГРО
В4 - СРЖ
 В - СРЕДИНА
Г1 - КВАСАЦ
Г2 - ЛИСТ
Г3 - КАШАЉ
Г4 - БАРУТ
 Г - СУВИ
??? - ПРОСЕК
