6245. емисија
94. циклус
31. емисија
01. 04. 2016.
www.youtube.com/watch?v=zXsZXKzm1vo

А1 - ЗГЛАВКАР
А2 - МРЕЖА
А3 - КРСТАШ
А4 - ТАРАНТУЛА
 А - ПАУК
Б1 - КАЛЕМ
Б2 - ЛУТКА
Б3 - МАК
Б4 - ИГЛА
 Б - КОНАЦ
В1 - БОГИЊА
В2 - КРИТ
В3 - ТЕЗЕЈ
В4 - ЛАВИРИНТ
 В - АРИЈАДНА
Г1 - ЛИНИЈА
Г2 - ВИТКА
Г3 - ТКАНИНА
Г4 - ...И ВИСОКА
 Г - ТАНКА
??? - НИТ

А1 - МУВА
А2 - ВЕЛТЕР
А3 - БАНТАМ
А4 - ТЕШКА
 А - КАТЕГОРИЈА
Б1 - ГОСТ
Б2 - ПАНСИОН
Б3 - РЕЦЕПЦИЈА
Б4 - ГАРНИ
 Б - ХОТЕЛ
В1 - ПОЗОРИШТЕ
В2 - ПАУЗА
В3 - ПОСЛЕДЊИ
В4 - СВРШЕНИ
 В - ЧИН
Г1 - КОМИСИЈА
Г2 - ПАРЛАМЕНТ
Г3 - БРИСЕЛ
Г4 - ЕВРО
 Г - ЕУ
??? - ЗВЕЗДИЦЕ
