6175. емисија
93. циклус
22. емисија
22. 01. 2016.
www.youtube.com/watch?v=CQ7MspwDtvg
А1 - РАЈ
А2 - КОНТИНЕНТ
А3 - АТЛАНТИДА
А4 - НАЂЕНИ
 А - ИЗГУБЉЕНИ
Б1 - ПРЕКИД
Б2 - СНИМАЊЕ
Б3 - РАЗВИЈАЊЕ
Б4 - ГЛЕДАЊЕ
 Б - ФИЛМ
В1 - КОМУНИКАЦИЈА
В2 - СРЕДСТВО
В3 - ЗНАКОВНИ
В4 - МАТЕРЊИ
 В - ЈЕЗИК
Г1 - ЛИНГВИСТА
Г2 - ФИЛОЛОГИЈА
Г3 - НАУКА
Г4 - СТРАНИ
 Г - ЈЕЗИК 
??? - ПРЕВОД

А1 - ПОСТУЛАТ
А2 - БРОЈЕВИ
А3 - ГЛАВНИ
А4 - ТЕМЕЉНИ
 А - ОСНОВНИ
Б1 - ПОБЕДНИК
Б2 - КОДЕКС
Б3 - ЧИН
Б4 - ЕТИЧКИ
 Б - МОРАЛНИ
В1 - СТОЈЕЋИ
В2 - ЛЕЖЕЋИ
В3 - ГЛЕДИШТЕ
В4 - ЧВРСТ
 В - СТАВ
Г1 - ФИЗИКА
Г2 - ДИСЦИПЛИНА
Г3 - ТОПЛОТА
Г4 - КРЕТАЊЕ
 Г - ТЕРМОДИНАМИКА
??? - ПРИНЦИП
