7311. емисија
113. циклус
29. емисија
04. 05. 2019.
www.youtube.com/watch?v=FtlLYxHSuKk

А1 - ФЕРДИНАНД
А2 - ЗОДИЈАК
А3 - КРИТ
А4 - ЈАБЛАН
 А - БИК
Б1 - ШИРОКО
Б2 - ФЕН
Б3 - ПАСАТ
Б4 - ОЛУЈА
 Б - ВЕТАР
В1 - ПЕВАЊЕ
В2 - БРОДВЕЈ
В3 - КОСА
В4 - МАЧКЕ
 В - МЈУЗИКЛ
Г1 - ИНСПЕКТОР
Г2 - ВРАТА
Г3 - СТЕПЕНИЦЕ
Г4 - ШУМА
 Г - ПОЖАР
??? - ЧИКАГО

А1 - ЛУСТЕР
А2 - ЧАША
А3 - ШЕЋЕР
А4 - ПАХУЉА
 А - КРИСТАЛ
Б1 - БАШТА
Б2 - ПЉЕСКАВИЦА
Б3 - ДРВА
Б4 - ЋУМУР
 Б - РОШТИЉ
В1 - ЧУВАР
В2 - ПТИЧИЦА
В3 - ОДЕЛО
В4 - ЋЕЛИЈА
 В - ЗАТВОР
Г1 - ПАПАГАЈ
Г2 - КАНАРИНАЦ
Г3 - ФАРАДЕЈ
Г4 - ЗООЛОШКИ ВРТ
 Г - КАВЕЗ
??? - РЕШЕТКА
