6623. емисија
100. циклус
43. емисија
14. 06. 2017.
www.youtube.com/watch?v=g7emr8t0G2A

А1 - БЕЛИЦА
А2 - ЗВЕР
А3 - ЗЛАТИЦА
А4 - САМУР
 А - КУНА
Б1 - АСТРАГАН
Б2 - НЕРЦ
Б3 - КОЖА
Б4 - ДЛАКА
 Б - КРЗНО
В1 - СОДА
В2 - ЧЕСМА
В3 - ТЕШКА
В4 - КОЛЕНО
 В - ВОДА
Г1 - ДОВИТЉИВА
Г2 - ПРЕПРЕДЕНА
Г3 - ПРЕВЕЈАНА
Г4 - ЛИСИЦА
 Г - ЛУКАВА
??? - ВИДРА

А1 - РАЧУНАР
А2 - ИНФЕКЦИЈА
А3 - ЗАРАЗА
А4 - КОКСАКИ
 А - ВИРУС
Б1 - КРАЉЕВИНА
Б2 - ТЕНЕРИФЕ
Б3 - П'РИНЕЈИ
Б4 - ПРАДО
 Б - ШПАНИЈА
В1 - ГОВОР
В2 - АБДОМЕН
В3 - ПИВО
В4 - ЦРЕВА
 В - СТОМАК
Г1 - СКАЛА
Г2 - СТЕПЕН
Г3 - ЦЕЛЗИЈУС
Г4 - КЕЛВИН
 Г - ТЕМПЕРАТУРА
??? - ГРИП
