6853. емисија
104. циклус
29. емисија
30. 01. 2018.
www.youtube.com/watch?v=6qbkH3tD4Sk

А1 - ОКЛОП
А2 - КУПОЛА
А3 - ГУСЕНИЦЕ
А4 - БИТКА
 А - ТЕНК
Б1 - ПОСАО
Б2 - МИНУЛИ
Б3 - ПРИСИЛНИ
Б4 - ЗАШТИТА
 Б - РАД
В1 - РАДНИЦИ
В2 - ИНТЕРНАЦИОНАЛНОСТ
В3 - РЕВОЛУЦИЈА
В4 - СОЛИДАРНОСТ
 В - ПРОЛЕТЕРИ
Г1 - ПОЖАР
Г2 - СИРЕНА
Г3 - МЕРДЕВИНЕ
Г4 - ШЛЕМ
 Г - ВАТРОГАСЦИ
??? - БРИГАДА

А1 - ПРОГРЕСИВНА
А2 - ТЕЛО
А3 - ПЕРСПЕКТИВА
А4 - ЕУКЛИД
 А - ГЕОМЕТРИЈА
Б1 - ЗЕМЉА
Б2 - КУТИЈА
Б3 - ОВЦА
Б4 - РУПА
 Б - ЦРНА
В1 - ШАТОР
В2 - АРЕНА
В3 - КЛОВН
В4 - АТРАКЦИЈА
 В - ЦИРКУС
Г1 - СТРАЖА
Г2 - ПРИРОДА
Г3 - ТРКА
Г4 - ТИШИНА
 Г - МРТВА
??? - ТАЧКА
