6947. емисија
106. циклус
1. емисија
04. 05. 2018.
www.youtube.com/watch?v=-CURQejMTwE

А1 - КОПАЊЕ
А2 - ШАНАЦ
А3 - ОПКОП
А4 - ТВРЂАВА
 А - РОВ
Б1 - ПОБЕДА
Б2 - СУНЦЕ
Б3 - ДОБАР
Б4 - САТИ
 Б - ДАН
В1 - ЦРВЕНА
В2 - ПРВА
В3 - ЈУГОСЛОВЕНСКА
В4 - НАРОДНА
 В - АРМИЈА
Г1 - НОВАЦ
Г2 - НАДНИЦА
Г3 - ЗАРАДА
Г4 - МЕСЕЦ
 Г - ПЛАТА
??? - ВОЈСКА

А1 - ПЛЕС
А2 - ТАБЛА
А3 - ПАЧЈА
А4 - ДВОРИШТЕ
 А - ШКОЛА
Б1 - ЈАГУШТ
Б2 - МЕХТА
Б3 - МАЕСТРО
Б4 - ПАЛИЦА
 Б - ДИРИГЕНТ
В1 - КАНОН
В2 - СОЛО
В3 - ЧАСОВИ
В4 - ПТИЦЕ
 В - ПЕВАЊЕ
Г1 - БАНДА
Г2 - КРВ
Г3 - ЕЛЕМЕНТИ
Г4 - ДРУШТВЕНА
 Г - ГРУПА
??? - ХОР
