7261. емисија
112. циклус
9. емисија
15. 03. 2019.
www.youtube.com/watch?v=1HeQKV3gNHU

А1 - ГЛАВА
А2 - ОТО
А3 - АУТОМОБИЛ
А4 - ТЕСТЕРА
 А - МОТОР
Б1 - ОАЗА
Б2 - МАЈОРКА
Б3 - ЈАГОДИНА
Б4 - КОКОС
 Б - ПАЛМА
В1 - ФЕЈСБУК
В2 - ЕКСПРЕС
В3 - ВАШИНГТОН
В4 - РЕЛИГИЈА
 В - ПОСТ
Г1 - САЛОН
Г2 - СПОРТ
Г3 - СТОПАЛА
Г4 - ТАЈЛАНД
 Г - МАСАЖА
??? - УЉЕ

А1 - АПАРАТ
А2 - ПРОГРАМ
А3 - ТАЛАСИ
А4 - МИЛЕВА
 А - РАДИО
Б1 - ИТАЛИЈА
Б2 - КАТЕДРАЛА
Б3 - ИНТЕР
Б4 - МОДА
 Б - МИЛАНО
В1 - КУТИЈА
В2 - РИТАМ
В3 - ШКОЛА
В4 - ПОП
 В - МУЗИКА
Г1 - ВОЈНА
Г2 - ДРЖАВНА
Г3 - ГРВ
Г4 - ЈАРБОЛ
 Г - ЗАСТАВА
??? - СКАЛА
