6816. емисија
103. циклус
53. емисија
24. 12. 2017.
www.youtube.com/watch?v=R5Qhn0iSCI0

А1 - БЛЕК
А2 - ПЕТРОЛОГИЈА
А3 - КРЕЧЊАК
А4 - СЕДИМЕНТ
 А - СТЕНА
Б1 - ЛАВА
Б2 - ФЛУИД
Б3 - РАСТОПЉАВАЊЕ
Б4 - СИЛИКАТ
 Б - МАГМА
В1 - ОСЛОНАЦ
В2 - ТЕМЕЉ
В3 - КАРАКТЕР
В4 - ТВРД
 В - ЧВРСТ
Г1 - ЗОНА
Г2 - БЕКОВИ
Г3 - ШАХ
Г4 - АДВОКАТ
 Г - ОДБРАНА
??? - ГРАНИТ

А1 - РИБАР
А2 - СПАСАВАЊЕ
А3 - МОТОР
А4 - ГУМА
 А - ЧАМАЦ
Б1 - БАЗИЧНИ
Б2 - БЕЛИ
Б3 - ИНДИВИДУАЛНИ
Б4 - ЕКСТРЕМНИ
 Б - СПОРТ
В1 - ЈУПИК
В2 - ИНУИТИ
В3 - НАРОД
В4 - СЕВЕР
 В - ЕСКИМИ
Г1 - НЕВЕН
Г2 - ТОПОТ
Г3 - РАДАР
Г4 - МЕЛЕМ
 Г - ПАЛИНДРОМ
??? - КАЈАК
