5751. емисија
86. циклус
25. емисија
10. 11. 2014.
www.youtube.com/watch?v=-AoUOQcSs6Y

А1 - ИЊЕ
А2 - ПТИЦА
А3 - ЛИСТ
А4 - СУВА
 А - ГРАНА
Б1 - ДЕЛО
Б2 - ЈУТРО
Б3 - ВЕЧЕ
Б4 - ЗЛО
 Б - ДОБРО
В1 - ЕКСТЕНЗИВНО
В2 - ИНТЕНЗИВНО
В3 - УЗГОЈ
В4 - ФАРМА
 В - СТОЧАРСТВО
Г1 - ГЛИНА
Г2 - ГРАЂЕВИНСКО
Г3 - ТЕРЕН
Г4 - САСТАВ
 Г - ЗЕМЉИШТЕ
??? - ПОЉОПРИВРЕДА

А1 - ЛЕТЕЊЕ
А2 - ПРОСТИРКА
А3 - ШАРЕ
А4 - РЕСЕ
 А - ЋИЛИМ
Б1 - КОСА
Б2 - НА СТРАНУ
Б3 - ФРИЗУРА 
Б4 - ЧЕТКА
 Б - ЧЕШЉАЊЕ
В1 - БИТКА
В2 - ТУРСКА
В3 - БАЈАЗИТ
В4 - ТАМЕРЛАН
 В - АНГОРА
Г1 - ДИЈАМАНТ
Г2 - КВАРЦ
Г3 - ТАЛК
Г4 - МОСОВА СКОЛА
 Г - МИНЕРАЛ
??? - ВУНА
