7091. емисија
108. циклус
23. емисија
26. 09. 2018.
www.youtube.com/watch?v=n35oY4hBcvA

А1 - НОВИНЕ
А2 - ЛОГО
А3 - ЛУТКА
А4 - ИЗЛОГ
 А - НАСЛОВНА СТРАНА
Б1 - КАМЕН
Б2 - КУТИЈИЦА
Б3 - БЕБЕ
Б4 - РУМЕНИЛО
 Б - ПУДЕР
В1 - ОПЕКОТИНА
В2 - ОПЕРАЦИЈА
В3 - РАНА
В4 - БРАЗГОТИНА
 В - ОЖИЉАК
Г1 - БЛАТО
Г2 - ЛЕНЧЕ
Г3 - СНЕГ
Г4 - ЗЛАТО
 Г - БЕЛО
??? - ЛИЦЕ

А1 - УПРАВЉАЧ
А2 - БОЛИД
А3 - ИСПИТ
А4 - ДОЗВОЛА
 А - ВОЗАЧ
Б1 - ДИЗАЊЕ
Б2 - ВРАЋАЊЕ
Б3 - СТАН
Б4 - КАРТИЦА
 Б - КРЕДИТ
В1 - СМОТАНА
В2 - ЖИЦА
В3 - ЧЕЛИК
В4 - ВУЧА
 В - САЈЛА
Г1 - ВОЗ 
Г2 - ВАГОН
Г3 - ОДЕЉАК
Г4 - ГАЛИЦИЗАМ
 Г - КУПЕ
??? - АУТОМОБИЛ
