6566. емисија
99. циклус
47. емисија
18. 04. 2017.


А1 - КРЕВЕТ
А2 - ПЛАЖА
А3 - НАДУВАВАЊЕ
А4 - МОРСКА ПЕНА
 А - ДУШЕК
Б1 - ГАЛАКСИЈА
Б2 - СТЕПЕНИЦЕ
Б3 - БУРГИЈА
Б4 - ИЗУВИЈАНА
 Б - СПИРАЛА
В1 - КВАРЦ
В2 - АУТОМАТИК
В3 - РУКА
В4 - МЕХАНИЗАМ
 В - САТ
Г1 - АУТОМОБИЛ
Г2 - УДАРАЦ
Г3 - УБЛАЖАВАЊЕ
Г4 - ГИБАЊ
 Г - АМОРТИЗЕР
??? - ОПРУГА

А1 - ТАЧКА
А2 - ПРИРОДА
А3 - СНАЛАЖЕЊЕ
А4 - СЕВЕР
 А - ОРИЈЕНТАЦИЈА
Б1 - ДЕТЕКТИВ
Б2 - МОДНА
Б3 - НОВИНЕ
Б4 - БЕЗБЕДНОСТ
 Б - АГЕНЦИЈА
В1 - НИШАН
В2 - ГИМНАСТИКА
В3 - МУЧЕЊЕ
В4 - УРЕЂАЈ
 В - СПРАВА
Г1 - ДЕЛИЈЕ
Г2 - СТРАНА
Г3 - СУБОТИЦА
Г4 - ВЕТАР
 Г - СЕВЕР 
??? - КОМПАС
