6302. емисија
95. циклус
27. емисија
28. 05. 2016.
www.youtube.com/watch?v=Sft-DiSyY2A

А1 - ДОБРО
А2 - УМЕТНИЧКО
А3 - РЕМЕК-
А4 - МАЈСТОР
 А - ДЕЛО
Б1 - ЗАКОНИ
Б2 - УСТАВ
Б3 - ПРИРОДНО
Б4 - ГРАЂАНСКО
 Б - ПРАВО
В1 - ФУСНОТА
В2 - ПАСУС
В3 - АНАЛИЗА
В4 - ЛЕКТУРА
 В - ТЕКСТ
Г1 - ЧАЈКОВСКИ
Г2 - ЛИСТ
Г3 - БРАМС
Г4 - БАХ
 Г - КОМПОЗИТОР
??? - АУТОР

А1 - ДОЗА
А2 - ЛОПТА
А3 - ЛИНИЈА
А4 - ДВОСТРУКА
 А - ДУПЛА
Б1 - ЗАПОВЕСТИ
Б2 - МАЛИ ЦРНЦИ
Б3 - ЉУТИ ГУСАРИ
Б4 - ПРСТИ
 Б - ДЕСЕТ
В1 - АЗИЈА
В2 - МО
В3 - РОКАДА
В4 - СИРЕНА
 В - МАЛА
Г1 - КРУГ
Г2 - ОЦЕНА
Г3 - ПАР
Г4 - ГОЛФ
 Г - ДВОЈКА
??? - ТАБЛИЋ
