6250. емисија
94. циклус
36. емисија
06. 04. 2016.
www.youtube.com/watch?v=XnFhDtLFYDg

А1 - ГОЛФ
А2 - БИЛИЈАР
А3 - СИР
А4 - ДУГМЕ
 А - РУПЕ
Б1 - ФУДБАЛСКЕ
Б2 - ПАДАЛИЦЕ
Б3 - ФИЛМСКЕ
Б4 - ВЕДЕТЕ
 Б - ЗВЕЗДЕ
В1 - ДЕТЕКТИВ
В2 - НЕКРЕТНИНА
В3 - МОДА
В4 - ПУТНИЧКА
 В - АГЕНЦИЈА
Г1 - ВИР
Г2 - ГЛАС
Г3 - САН
Г4 - СНЕГ
 Г - ДУБОКИ
??? - СВЕМИР

А1 - ФК
А2 - КАРАЂОРЂЕ
А3 - ДУНАВ
А4 - СРБИЈА
 А - ВОЈВОДИНА
Б1 - ФОРМАН
Б2 - МРЕЖИЦА
Б3 - ДЛАКА
Б4 - ЧУПЕРАК
 Б - КОСА
В1 - СВЕТА
В2 - ШУМА
В3 - ЗЕЛЕНА
В4 - ПЛАНИНА
 В - ГОРА
Г1 - ШАЛОВАЊЕ
Г2 - ГЛАВА
Г3 - ПЕГЛАЊЕ
Г4 - СЕЧЕЊЕ
 Г - ДАСКА
??? - РАВНА
