6859. емисија
104. циклус
35. емисија
05. 02. 2018.
www.youtube.com/watch?v=JxvCN0xDex0

А1 - КАПА
А2 - ВРАТ
А3 - ШЕЋЕР
А4 - ПОРОДИЦА
 А - ГЛАВА
Б1 - СТАНКА
Б2 - СУКЊА
Б3 - СТАЗА
Б4 - РЕЧЕНИЦА
 Б - КРАТКА
В1 - СЛАВИНА
В2 - БРИСАЊЕ
В3 - ТЕГЛА
В4 - ПРАЋКА
 В - ГУМИЦА
Г1 - ТЕНИС
Г2 - РАЧУНАРИ
Г3 - ПАУК
Г4 - ЧВОР
 Г - МРЕЖА
??? - КОСА

А1 - ПРОЗОР
А2 - ВУНА
А3 - ЧАША
А4 - КРИСТАЛ
 А - СТАКЛО
Б1 - МАКАЗЕ
Б2 - ПАТУЉЦИ
Б3 - БОТАНИКА
Б4 - ЗАЛИВАЊЕ
 Б - БАШТА
В1 - КАРТИЦА
В2 - ПРСТЕН
В3 - ТЕЛЕФОН
В4 - ЈАВЉАЊЕ
 В - ХАЛО
Г1 - ИГРА
Г2 - ПЛОЧИЦЕ
Г3 - РЕЂАЊЕ
Г4 - ТАЧКИЦЕ
 Г - ДОМИНЕ
??? - ЕФЕКАТ
