6346. емисија
96. циклус
10. емисија
10. 09. 2016.
www.youtube.com/watch?v=C3uGLxBPdco

А1 - ХЛАЂЕЊЕ
А2 - УРЕЂАЈ
А3 - МЕСО
А4 - САНДУК
 А - ЗАМРЗИВАЧ
Б1 - ЧЛАНАРИНА
Б2 - КЊИГЕ
Б3 - НАРОДНА
Б4 - ГРАДСКА
 Б - БИБЛИОТЕКА
В1 - КАСА
В2 - КУПОВИНА
В3 - ИЗЛОГ
В4 - РАДЊА
 В - ПРОДАВНИЦА
Г1 - ШПАНИЈА
Г2 - САТ
Г3 - ГРАФИТ
Г4 - PINK FLOYD
 Г - ЗИД
??? - ПОЛИЦЕ

А1 - ЦЕВ
А2 - ОПАСАЧ
А3 - СТАРТ
А4 - БУРЕНЦЕ
 А - РОШТИЉ
Б1 - СИГНАЛ
Б2 - ПАЖЊА
Б3 - СИГУРАН
Б4 - ПИТАЊЕ
 Б - ЗНАК
В1 - ДРВЕЋЕ
В2 - КЛУПА
В3 - ФОНТАНА
В4 - СТАЗА
 В - ПАРК
Г1 - ЧВОР
Г2 - ШПИЦ
Г3 - РЕГУЛАЦИЈА
Г4 - ДРУМ
 Г - САОБРАЋАЈ
??? - ВОДЕНИ
