6373. емисија
96. циклус
37. емисија
07. 10. 2016.
www.youtube.com/watch?v=aSLhyYUywis

А1 - ВРХ
А2 - ВРБА
А3 - МОНМАРТР
А4 - ЗВЕЗДАРА
 А - БРДО
Б1 - БАНАТ
Б2 - УНА
Б3 - КРАЉ
Б4 - ЛУДА
 Б - ДВОР
В1 - КОРВИН
В2 - ГУБЕЦ
В3 - БЕЋКОВИЋ
В4 - КЕЖМАН
 В - МАТИЈА
Г1 - ОРГАНИЗАЦИЈА
Г2 - РЕЗОЛУЦИЈА
Г3 - ПОВЕЉА
Г4 - ИСТ РИВЕР
 Г - УН
??? - БАН 

А1 - МЕРЕЊЕ
А2 - МУЗИКА
А3 - ЖИЧАНИ
А4 - ГУДАЧКИ
 А - ИНСТРУМЕНТ
Б1 - ВУНА
Б2 - СИЈАЛИЦА
Б3 - ПАУК
Б4 - МИШИЋ
 Б - ВЛАКНО
В1 - МЕТОДА
В2 - АКАДЕМИЈА
В3 - ХЕМИЈА
В4 - СОЦИОЛОГИЈА
 В - НАУКА
Г1 - СНОП
Г2 - ГОДИНА
Г3 - НЕОН
Г4 - СИГНАЛ
 Г - СВЕТЛОСТ
??? - ОПТИКА
