6239. емисија
94. циклус
25. емисија
26. 03. 2016.
www.youtube.com/watch?v=R2bKRYXmY48

А1 - ПРИБОР
А2 - ВЕЧЕ
А3 - КЛУПА
А4 - РЕДАР
 А - ШКОЛА
Б1 - КЛАСИКА
Б2 - ИНСТРУМЕНТ
Б3 - ДЕЛО
Б4 - УМЕТНОСТ
 Б - МУЗИКА
В1 - ДОМ
В2 - ФАКУЛТЕТ
В3 - КРЕДИТ
В4 - СТИПЕНДИЈА
 В - СТУДЕНТ
Г1 - САЛА
Г2 - ПОВОРКА
Г3 - ХАЉИНА
Г4 - ПРАЗНИЧНА
 Г - СВЕЧАНА
??? - АКАДЕМИЈА

А1 - ШТАПИЋ
А2 - БРЕГ
А3 - НАПИТАК
А4 - МАГИЧНИ
 А - ЧАРОБНИ
Б1 - МИРОЂИЈА
Б2 - РИБА
Б3 - ПАРАДАЈЗ
Б4 - КИСЕЛА
 Б - ЧОРБА
В1 - СОК
В2 - ДИМ
В3 - САОБРАЋАЈ
В4 - НЕРАЗРЕЂЕНИ
 В - ГУСТ(И)
Г1 - РАКИЈА
Г2 - ПЕЧЕЊЕ
Г3 - СУД
Г4 - БОЈЛЕР
 Г - КАЗАН
??? - ПАСУЉ
