6867. емисија
104. циклус
43. емисија
13. 02. 2018.
www.youtube.com/watch?v=ChOXLOtRFFc

А1 - ПЛАНИНА
А2 - ПОТОК
А3 - ВРЕЛО
А4 - ЕНЕРГЕТСКИ
 А - ИЗВОР
Б1 - ТАЛАСИ
Б2 - ПРСТ
Б3 - ВЕК
Б4 - ЦЕНТРАЛНИ
 Б - СРЕДЊИ
В1 - СВЕТЛОСТ
В2 - РЕВОЛУЦИЈА
В3 - СИСТЕМ
В4 - КАЛЕНДАР
 В - СУНЦЕ
Г1 - ЈЕВРЕЈИ
Г2 - ЕГИПАТ
Г3 - ВРАТА
Г4 - У ГРАД
 Г - ИЗЛАЗАК
??? - ИСТОК

А1 - МЕНИ
А2 - РЕД
А3 - ЛИСТ
А4 - БОРАВАК
 А - ДНЕВНИ
Б1 - СКУПШТИНА
Б2 - ЗАТВОРЕНА
Б3 - РЕДОВНА
Б4 - ВАНРЕДНА
 Б - СЕДНИЦА
В1 - ПРЕГАЛАШТВО
В2 - УМ
В3 - ФИЗИЧКИ
В4 - ДАНОНОЋНИ
 В - РАД
Г1 - ТЕКСТ
Г2 - КОЛУМНА
Г3 - ДОПИСНИК
Г4 - ПЕРО
 Г - НОВИНАР
??? - ИЗВЕШТАЈ
