6626. емисија
100. циклус
46. емисија
17. 06. 2017.
www.youtube.com/watch?v=3QzSwTJI5c4

А1 - ИЗАБРАНИ
А2 - ДРУШТВО
А3 - ТЕОРИЈА
А4 - ВРХУНСКИ
 А - ЕЛИТА
Б1 - ЛАБУД
Б2 - ЛЕДНИК
Б3 - АКУМУЛАЦИЈА
Б4 - ВЕШТАЧКО
 Б - ЈЕЗЕРО
В1 - БРЕГ
В2 - ДРЖАВА
В3 - ОБЕЛИСК
В4 - ПАПА
 В - ВАТИКАН
Г1 - ДРЖАВА
Г2 - БАНКА
Г3 - НЕУТРАЛНОСТ
Г4 - ВИЉЕМ ТЕЛ
 Г - ШВАЈЦАРСКА
??? - ГАРДА

А1 - ПАЛМА
А2 - МЛЕКО
А3 - БРАШНО
А4 - ЧОКОЛАДА
 А - КОКОС
Б1 - ОКЕАН
Б2 - СЛОН
Б3 - МАХАРАЏА
Б4 - ЧАЈ
 Б - ИНДИЈА
В1 - ГРАНА
В2 - ШУМА
В3 - СИРОВО
В4 - ЗИМЗЕЛЕН
 В - ДРВО
Г1 - МОТОР
Г2 - СЛИКА
Г3 - ЛАМПА
Г4 - МАЗИВО
 Г - УЉЕ
??? - ОРАХ
