6704. емисија
102. циклус
2. емисија
03. 09. 2017.
www.youtube.com/watch?v=hnrQipKKHUs

А1 - НЕМЕТАЛ
А2 - ШИБИЦЕ
А3 - БЕЛИ
А4 - "P"
 А - ФОСФОР
Б1 - ЕКОСИСТЕМ
Б2 - ФЛОРА
Б3 - ВЕГЕТАЦИЈА
Б4 - ПОРОДИЦА
 Б - БИЉКЕ
В1 - ВИСИНА
В2 - ХОРМОН
В3 - РАЗВОЈ
В4 - СТАНДАРД
 В - РАСТ
Г1 - ЦВЕЋЕ
Г2 - ДИСАЊЕ
Г3 - ЈЕЗЕРО
Г4 - ЗАЧЕЋЕ
 Г - ВЕШТАЧКО
??? - ЂУБРИВО

А1 - ГРОБЉЕ
А2 - ВЕЛИКА
А3 - МАЛА
А4 - СИКСТИНСКА
 А - КАПЕЛА
Б1 - НОСАЧ
Б2 - БРЗИНА
Б3 - ЕФЕКТИ
Б4 - РЕПРОДУКЦИЈА
 Б - ЗВУК
В1 - ОПАСНОСТ
В2 - АУТОМОБИЛ
В3 - УРЕЂАЈ
В4 - УЗБУНА
 В - АЛАРМ
Г1 - КРАТКЕ
Г2 - ДУГАЧКЕ
Г3 - КАИШ
Г4 - ЏЕП
 Г - ПАНТАЛОНЕ
??? - ЗВОНО
